campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,net_profit,start_year,start_month,start_quarter,end_year,end_month,end_quarter,performance_category,categoria_rendimiento,cost_per_conversion,low_budget_flag,high_roi_flag,high_conversion_flag,paid_channel_flag,long_duration_flag,b2b_flag
public-key multi-tasking throughput,2023-04-01,2024-02-23,8082.3,0.35,email,b2b,organic,0.4,709593.48,701511.1799999999,2023,4,2,2024,2,1,Rendimiento medio,Rendimiento medio,20205.75,1,0,0,0,1,0
de-engineered analyzing task-force,2023-02-15,2024-04-22,17712.98,0.74,email,b2c,promotion,0.66,516609.1,498896.12,2023,2,1,2024,4,2,Alto rendimiento,Alto rendimiento,26837.848484848484,0,1,1,0,1,0
balanced solution-oriented local area network,2022-12-20,2023-10-11,84643.1,0.37,podcast,b2b,paid,0.28,458227.42,373584.31999999995,2022,12,4,2023,10,4,Rendimiento medio,Rendimiento medio,302296.7857142857,0,0,0,1,1,0
distributed real-time methodology,2022-09-26,2023-09-27,14589.75,0.47,webinar,b2b,organic,0.19,89958.73,75368.98,2022,9,3,2023,9,3,Rendimiento medio,Rendimiento medio,76788.15789473684,0,0,0,0,1,0
front-line executive infrastructure,2023-07-07,2024-05-15,39291.9,0.3,social media,b2b,promotion,0.81,47511.35,8219.449999999997,2023,7,3,2024,5,2,Rendimiento medio,Rendimiento medio,48508.51851851852,0,0,1,0,1,0
upgradable transitional data-warehouse,2023-06-29,2023-12-13,75569.28,0.59,social media,b2c,referral,0.67,558302.11,482732.82999999996,2023,6,2,2023,12,4,Rendimiento medio,Rendimiento medio,112789.97014925373,0,0,1,0,0,0
innovative context-sensitive framework,2023-03-01,2024-02-23,28964.45,0.59,email,b2c,referral,0.17,172882.59,143918.13999999998,2023,3,1,2024,2,1,Rendimiento medio,Rendimiento medio,170379.11764705883,0,0,0,0,1,0
user-friendly client-driven service-desk,2023-01-06,2023-12-11,36800.58,0.4,webinar,b2c,promotion,0.52,206241.46,169440.88,2023,1,1,2023,12,4,Rendimiento medio,Rendimiento medio,70770.34615384616,0,0,1,0,1,0
proactive neutral methodology,2022-09-06,2024-01-11,40493.88,0.16,webinar,b2c,organic,0.47,734755.76,694261.88,2022,9,3,2024,1,1,Rendimiento medio,Rendimiento medio,86157.1914893617,0,0,0,0,1,0
intuitive responsive support,2022-11-25,2024-04-04,1816.22,0.81,social media,b2c,referral,0.85,563280.3,561464.0800000001,2022,11,4,2024,4,2,Alto rendimiento,Alto rendimiento,2136.729411764706,1,1,1,0,1,0
multi-lateral dedicated workforce,2023-06-15,2024-06-15,94084.21,0.58,podcast,b2b,referral,0.23,406522.77,312438.56,2023,6,2,2024,6,2,Rendimiento medio,Rendimiento medio,409061.7826086957,0,0,0,0,1,0
cross-platform demand-driven encoding,2023-07-21,2023-11-04,64041.37,0.16,social media,b2b,promotion,0.55,174462.47,110421.1,2023,7,3,2023,11,4,Rendimiento medio,Rendimiento medio,116438.85454545454,0,0,1,0,0,0
networked even-keeled toolset,2023-03-16,2023-09-05,49375.81,0.58,social media,b2b,organic,0.95,680416.9,631041.0900000001,2023,3,1,2023,9,3,Rendimiento medio,Rendimiento medio,51974.53684210526,0,0,1,0,0,0
optional actuating standardization,2023-07-04,2024-05-06,14810.62,0.94,webinar,b2b,referral,0.45,477528.27,462717.65,2023,7,3,2024,5,2,Rendimiento medio,Rendimiento medio,32912.48888888889,0,1,0,0,1,0
innovative web-enabled function,2022-11-05,2023-09-05,36848.3,0.92,webinar,b2c,referral,0.1,4190.95,-32657.350000000002,2022,11,4,2023,9,3,Rendimiento medio,Rendimiento medio,368483.0,0,1,0,0,1,0
configurable methodical service-desk,2023-03-23,2023-11-07,21510.43,0.23,email,b2b,referral,0.92,23176.85,1666.4199999999983,2023,3,1,2023,11,4,Rendimiento medio,Rendimiento medio,23380.902173913044,0,0,1,0,1,0
cross-group empowering attitude,2022-09-14,2024-01-25,99520.93,0.52,podcast,b2c,paid,0.65,386133.95,286613.02,2022,9,3,2024,1,1,Rendimiento medio,Rendimiento medio,153109.12307692308,0,0,1,1,1,0
intuitive didactic installation,2023-06-24,2024-03-27,19213.46,0.17,email,b2b,organic,0.96,925274.53,906061.0700000001,2023,6,2,2024,3,1,Rendimiento medio,Rendimiento medio,20014.020833333332,0,0,1,0,1,0
fundamental dedicated encryption,2023-07-16,2023-08-17,17573.23,0.38,email,b2b,promotion,0.79,460559.74,442986.51,2023,7,3,2023,8,3,Rendimiento medio,Rendimiento medio,22244.594936708858,0,0,1,0,0,0
de-engineered 4thgeneration moratorium,2022-09-26,2024-05-30,25396.4,0.45,email,b2c,promotion,0.1,292885.55,267489.14999999997,2022,9,3,2024,5,2,Rendimiento medio,Rendimiento medio,253964.0,0,0,0,0,1,0
managed upward-trending website,2023-02-07,2024-02-07,34644.22,0.2,podcast,b2b,referral,0.72,478980.33,444336.11,2023,2,1,2024,2,1,Rendimiento medio,Rendimiento medio,48116.972222222226,0,0,1,0,1,0
self-enabling human-resource infrastructure,2023-04-20,2024-01-09,60274.59,0.69,webinar,b2b,organic,0.91,974038.96,913764.37,2023,4,2,2024,1,1,Alto rendimiento,Alto rendimiento,66235.81318681317,0,1,1,0,1,0
